Epoch:1   Accuracy:88.88
Epoch:2   Accuracy:89.40
Epoch:3   Accuracy:88.38
Epoch:4   Accuracy:86.57
Epoch:5   Accuracy:83.93
Epoch:6   Accuracy:89.13
Epoch:7   Accuracy:90.06
Epoch:8   Accuracy:90.62
Epoch:9   Accuracy:91.03
Epoch:10   Accuracy:90.75
Epoch:11   Accuracy:90.91
Epoch:12   Accuracy:90.89
Epoch:13   Accuracy:90.98
Epoch:14   Accuracy:91.26
Epoch:15   Accuracy:91.24
Epoch:16   Accuracy:91.47
Epoch:17   Accuracy:91.94
Epoch:18   Accuracy:92.11
Epoch:19   Accuracy:92.02
Epoch:20   Accuracy:92.12
Epoch:21   Accuracy:92.07
Epoch:22   Accuracy:92.21
Epoch:23   Accuracy:91.75
Epoch:24   Accuracy:92.34
Epoch:25   Accuracy:92.33
Epoch:26   Accuracy:91.93
Epoch:27   Accuracy:92.03
Epoch:28   Accuracy:92.32
Epoch:29   Accuracy:92.33
Epoch:30   Accuracy:91.74
Epoch:31   Accuracy:91.75
Epoch:32   Accuracy:92.07
Epoch:33   Accuracy:92.21
Epoch:34   Accuracy:91.40
Epoch:35   Accuracy:91.77
Epoch:36   Accuracy:91.86
Epoch:37   Accuracy:92.37
Epoch:38   Accuracy:92.04
Epoch:39   Accuracy:92.55
Epoch:40   Accuracy:92.38
Epoch:41   Accuracy:92.53
Epoch:42   Accuracy:91.87
Epoch:43   Accuracy:92.02
Epoch:44   Accuracy:92.70
Epoch:45   Accuracy:92.47
Epoch:46   Accuracy:92.27
Epoch:47   Accuracy:92.44
Epoch:48   Accuracy:92.54
Epoch:49   Accuracy:92.49
Epoch:50   Accuracy:92.25
Epoch:51   Accuracy:92.99
Epoch:52   Accuracy:92.59
Epoch:53   Accuracy:92.81
Epoch:54   Accuracy:92.35
Epoch:55   Accuracy:92.84
Epoch:56   Accuracy:92.76
Epoch:57   Accuracy:92.63
Epoch:58   Accuracy:92.60
Epoch:59   Accuracy:92.23
Epoch:60   Accuracy:92.24
Epoch:61   Accuracy:92.48
Epoch:62   Accuracy:92.30
Epoch:63   Accuracy:92.52
Epoch:64   Accuracy:92.59
Epoch:65   Accuracy:92.37
Epoch:66   Accuracy:92.41
Epoch:67   Accuracy:92.71
Epoch:68   Accuracy:92.53
Epoch:69   Accuracy:92.78
Epoch:70   Accuracy:92.16
Epoch:71   Accuracy:92.81
Epoch:72   Accuracy:92.76
Epoch:73   Accuracy:92.12
Epoch:74   Accuracy:92.58
Epoch:75   Accuracy:92.42
Epoch:76   Accuracy:92.73
Epoch:77   Accuracy:92.24
Epoch:78   Accuracy:92.30
Epoch:79   Accuracy:92.39
Epoch:80   Accuracy:92.51
Epoch:81   Accuracy:92.30
Epoch:82   Accuracy:92.33
Epoch:83   Accuracy:92.58
Epoch:84   Accuracy:92.18
Epoch:85   Accuracy:92.80
Epoch:86   Accuracy:92.58
Epoch:87   Accuracy:92.79
Epoch:88   Accuracy:92.54
Epoch:89   Accuracy:92.08
Epoch:90   Accuracy:92.67
Epoch:91   Accuracy:92.46
Epoch:92   Accuracy:92.67
Epoch:93   Accuracy:92.21
Epoch:94   Accuracy:92.22
Epoch:95   Accuracy:92.23
Epoch:96   Accuracy:92.65
Epoch:97   Accuracy:92.55
Epoch:98   Accuracy:92.51
Epoch:99   Accuracy:92.90
Epoch:100   Accuracy:92.25
Epoch:101   Accuracy:92.55
Epoch:102   Accuracy:92.71
Epoch:103   Accuracy:92.68
Epoch:104   Accuracy:92.33
Epoch:105   Accuracy:92.59
Epoch:106   Accuracy:92.46
Epoch:107   Accuracy:93.14
Epoch:108   Accuracy:93.07
Epoch:109   Accuracy:93.03
Epoch:110   Accuracy:92.45
Epoch:111   Accuracy:92.89
Epoch:112   Accuracy:92.95
Epoch:113   Accuracy:91.78
Epoch:114   Accuracy:92.30
Epoch:115   Accuracy:92.04
Epoch:116   Accuracy:92.69
Epoch:117   Accuracy:92.57
Epoch:118   Accuracy:92.38
Epoch:119   Accuracy:93.01
Epoch:120   Accuracy:92.68
Epoch:121   Accuracy:92.57
Epoch:122   Accuracy:92.29
Epoch:123   Accuracy:92.95
Epoch:124   Accuracy:92.65
Epoch:125   Accuracy:93.03
Epoch:126   Accuracy:92.53
Epoch:127   Accuracy:92.58
Epoch:128   Accuracy:92.48
Epoch:129   Accuracy:92.85
Epoch:130   Accuracy:93.01
Epoch:131   Accuracy:92.82
Epoch:132   Accuracy:92.72
Epoch:133   Accuracy:92.69
Epoch:134   Accuracy:92.45
Epoch:135   Accuracy:92.85
Epoch:136   Accuracy:92.68
Epoch:137   Accuracy:92.99
Epoch:138   Accuracy:93.15
Epoch:139   Accuracy:92.75
Epoch:140   Accuracy:92.38
Epoch:141   Accuracy:92.91
Epoch:142   Accuracy:93.07
Epoch:143   Accuracy:92.73
Epoch:144   Accuracy:92.49
Epoch:145   Accuracy:92.58
Epoch:146   Accuracy:92.93
Epoch:147   Accuracy:92.64
Epoch:148   Accuracy:92.84
Epoch:149   Accuracy:92.44
Epoch:150   Accuracy:92.42
Epoch:151   Accuracy:93.52
Epoch:152   Accuracy:93.73
Epoch:153   Accuracy:93.75
Epoch:154   Accuracy:93.72
Epoch:155   Accuracy:93.67
Epoch:156   Accuracy:93.78
Epoch:157   Accuracy:93.79
Epoch:158   Accuracy:93.78
Epoch:159   Accuracy:93.69
Epoch:160   Accuracy:93.90
Epoch:161   Accuracy:93.97
Epoch:162   Accuracy:93.69
Epoch:163   Accuracy:93.67
Epoch:164   Accuracy:93.82
Epoch:165   Accuracy:93.82
Epoch:166   Accuracy:93.88
Epoch:167   Accuracy:93.93
Epoch:168   Accuracy:93.79
Epoch:169   Accuracy:93.85
Epoch:170   Accuracy:94.11
Epoch:171   Accuracy:93.96
Epoch:172   Accuracy:93.88
Epoch:173   Accuracy:93.87
Epoch:174   Accuracy:93.79
Epoch:175   Accuracy:93.77
Epoch:176   Accuracy:93.69
Epoch:177   Accuracy:93.84
Epoch:178   Accuracy:93.89
Epoch:179   Accuracy:93.92
Epoch:180   Accuracy:93.83
Epoch:181   Accuracy:93.92
Epoch:182   Accuracy:93.79
Epoch:183   Accuracy:93.74
Epoch:184   Accuracy:93.82
Epoch:185   Accuracy:93.97
Epoch:186   Accuracy:93.91
Epoch:187   Accuracy:93.89
Epoch:188   Accuracy:93.94
Epoch:189   Accuracy:93.96
Epoch:190   Accuracy:93.93
Epoch:191   Accuracy:93.83
Epoch:192   Accuracy:93.90
Epoch:193   Accuracy:93.89
Epoch:194   Accuracy:94.05
Epoch:195   Accuracy:93.93
Epoch:196   Accuracy:93.93
Epoch:197   Accuracy:93.94
Epoch:198   Accuracy:94.13
Epoch:199   Accuracy:94.01
Epoch:200   Accuracy:94.10
Epoch:201   Accuracy:93.85
Epoch:202   Accuracy:93.94
Epoch:203   Accuracy:93.91
Epoch:204   Accuracy:93.82
Epoch:205   Accuracy:94.16
Epoch:206   Accuracy:94.08
Epoch:207   Accuracy:94.05
Epoch:208   Accuracy:93.77
Epoch:209   Accuracy:94.03
Epoch:210   Accuracy:94.00
Epoch:211   Accuracy:93.68
Epoch:212   Accuracy:94.06
Epoch:213   Accuracy:93.99
Epoch:214   Accuracy:94.03
Epoch:215   Accuracy:94.01
Epoch:216   Accuracy:94.00
Epoch:217   Accuracy:94.01
Epoch:218   Accuracy:93.87
Epoch:219   Accuracy:94.12
Epoch:220   Accuracy:94.06
